,jobrequirements,bias,againstgroup
0,Strive for quality and safety; executed best in class; creative and innovative; dedicated for continuous improvement.,2,00011
1,Passionate about customer service internal and external and to the community; and creates superior value.,2,00011
2,High standards of ethics and personal accountability; transparency; credibility; fairness,2,00011
3,10 - 15 years: Estimating in W/WW based projects,0,00000
4,Salesforce Developer/Platform Developer and Admin Certification is must.,2,00011
5,Responsible for suggesting changes to the existing architecture of the SFDC application.,0,00000
6,Should be well versed with Salesforce security aspect (Shield).,0,00000
7,Must have a very good hands on experience on Lightning components and Lightning Flows.,2,00011
8,Strong interpersonal skills with good exposure in handling the clients.,2,00100
9,Knowledge of various SFDC associated tools would be an added advantage.,0,00000
10,Proven retail experience preferably within cosmetics,0,00000
11,"The ability to provide inspirational, authentic and personalized customer service",2,00011
12,"While not essential, previous retail operations experience including cash reconciliation and opening and closing the store is desirable",2,00011
13,Previous supervisory experience including coaching/mentoring others to achieve sales and customer service targets is desirable,2,00011
14,"Ability to work retail hours including days, nights, weekends and special events in a fast-paced work environment",2,00011
15,Previous experience with retail point-of-sale software,0,00000
16,Applicants must be able to provide proof of right to live and work in the country if invited to attend for interview,2,00011
17,"Where appropriate, leverage past experience in consulting delivery to assist in building credibility with clients.",2,00011
18,Existing high-level relationships in Enterprise accounts,0,00000
19,Cultivate client relationships at all levels throughout the sales and delivery process for mutual long-term success.,2,00011
20,Bachelors (Non -Technical),0,00000
21,"Minimum of 5 Years outside consultative/solutions experience, large enterprise customers,",0,00000
22,"$300K + typical transaction value, selling project-based consulting services, proven track record of success with commensurate income levels",0,00000
23,Solution/Consulting delivery experience preferred but not required,0,00000
24,Travel ranges from 30- 50 %,2,00010
25,Identify client needs and develops persuasive proposals to meet needs and opportunities,2,00011
26,Develop action plans and schedules to meet specific sales targets,2,00011
27,Prepare compelling and competitive proposals and presentations,2,00111
28,"Negotiate fees or services with clients, with management approval",0,00000
29,Communicate and coordinate with other internal departments to sufficiently service our clients,2,00011
30,Perform other duties as assigned or requested,0,00000
31,"4-year college degree, BA/BS or equivalent preferred",0,00000
32,1-3 years of sales experience; Media/Advertising sales preferred,0,00000
33,Demonstrated track record of business-to-business sales experience strongly preferred,0,00000
34,"Strong organizational/time management skills, and be detailed oriented",2,00011
35,Skilled in working closely with customers to develop and cultivate client relationships in order to grow accounts,2,00011
36,"Able to complete required math calculations (e.g. multiply, divide, rate, ratio, percent, produce/interpret graphs)",0,00000
37,"Competent in Microsoft software applications (i.e., Word, Excel, Outlook, and PowerPoint.)",2,00011
38,Occasional travel (up to 25%) of the time,2,00010
39,Varying work shifts and/or work weeks exceeding forty (40) hours in duration may be required,2,00011
40,Demonstrating Xero solutions in pre-sales context to Accountants and Bookkeepers,2,00011
41,Working closely with external stakeholders ensuring deeper adoption of the Xero platform within an accounting practice,0,00000
42,Working closely with the Sales team to deliver business plans for Partners,0,00000
43,Assisting partners with data conversions through detailed project planning and training guidance,2,00011
44,Handling Partner technical questions and escalations,2,00011
45,Educating partners on all partner resources available,0,00000
46,"Updating CRM system with all client communications including calls, emails and meetings",2,00011
47,Maintaining and updating CRM system of all practice staff and contact details,2,00011
48,Responding in a timely manner to all Partner inquiries,0,00000
49,Manage the creation of resources (processes/videos) for frequently asked questions from Partners,0,00000
50,Earning the trust of our Accounting Partners and assisting them on converting their clients to Xero and modernizing their accounting practice,2,00011
51,Presenting full go-to-market solutions for our Accounting Partners to use with their clients,0,00000
52,Managing multiple ongoing projects related to our Accounting Partners and internal resources,2,00011
53,Analyzing and recommending solutions for internal and/or client workflow efficiencies,2,00011
54,Nurturing relationships with our Accounting Partners through attending events and hosting customized workshops,2,00011
55,Enthusiasm for the emerging cloud accounting market and its new opportunities,2,00011
56,A natural tendency towards building mutually beneficial partnerships,0,00000
57,Results driven with strong initiative and ability to work independently,2,00011
58,"Outstanding communication, planning and presentation skills",2,00111
59,"Capacity to learn, adapt and apply ideas in constantly morphing situations",2,00011
60,"Ability to create quick, strong rapport with accountants and other stakeholders",2,00011
61,"3+ years of accounting, public accounting preferred",0,00000
62,2+ years of tax experience,0,00000
63,Strong knowledge for the workings of an accounting practice and systems,2,00011
64,CPA certification a plus,0,00000
65,Work in an entrepreneurial and dynamic environment with a chance to make an impact.,2,00011
66,Develop lasting relationships with great people.,0,00000
67,Have the opportunity to build a satisfying career.,0,00000
68,Advertising: Team with outside agencies to develop creative and a media plan for Deloitte Private; track ROI and KPIs.,2,00011
69,"Measurement: Track, monitor, and evaluate activities and accomplishments and provide recommendations to senior leadership.",2,00011
70,Marketing / communications professional with a minimum of 6-12 years relevant experience.,2,00011
71,"A Bachelor's degree, preferably in Marketing, Communications, English, Public Relations, Journalism, or related field is required.",2,01011
72,Knowledge of the private company market a plus and/or eagerness to learn about the market space a must.,2,00011
73,"Strong knowledge of marketing and communications strategic practices and experience building, driving, and executing a broad marketing strategy.",2,00011
74,"Proven success in developing and executing marketing programs for a large business, preferably in professional services.",2,00011
75,"Innovative, creative, curious mindset, willing to learn about, experiment with, and champion new media and channels.",2,00011
76,"Experience collaborating with teams in a professional services or large, matrix organization preferred,",0,00000
77,Superlative project management skills.,0,00000
78,Extremely detail-oriented and provides exceptional quality projects.,2,00011
79,Ability to work well in a virtual team environment.,0,00000
80,Demonstrated ability to take initiative and interact with all levels of management.,2,00011
81,Works well under pressure and can effectively and professionally handle tough issues.,2,00011
82,Experience in measuring the effectiveness of communication strategies and approaches.,2,00011
83,"Expert-level proficiency with Microsoft PowerPoint, Outlook, Excel, and Word. Knowledgeable in all aspects of Microsoft Office and ancillary programs.",2,00011
84,"Plan, execute, manage, and optimize managed service and self-service campaigns",2,00011
85,"Understanding upper funnel [brand messaging, calls to action] and lower funnel [direct response, conversion] campaign tactics",2,00011
86,Defining metrics and measuring success of campaigns using internal analytics,2,00011
87,"Lead daily campaign maintenance, including internal questions regarding tracking and status of various campaigns",2,00011
88,Strategic oversight of large accounts and client relationships,2,00011
89,"Develop, grow, and maintain relationships with internal teams through exceptional client service",2,00011
90,Traffic campaign tags into all ad technology environments,0,00000
91,"Oversee the campaign QA process to ensure accurate campaign implementation, pacing and performance",2,00011
92,Formulate proposals for new client opportunities,0,00000
93,Partner with Analytics team on campaign measurement reporting and insights generation,2,00011
94,"Provide regular insights to clients detailing performance, campaign optimizations, and new opportunities",2,00011
95,Work with media partners to ensure accurate platform implementation,0,00000
96,Troubleshoot issues on all pre-production and live campaigns,2,00011
97,Provide campaign wrap up reports,0,00000
98,Provide monthly auditing reports to partners and actualize bill/pay systems when applicable,2,00011
99,"Attend client meetings, as needed",0,00000
100,Four-year college degree,0,00000
101,"Must have 2+ years of experience in bid management, campaign management/optimization, or digital media operations",0,00000
102,Client facing experience with the ability to identify risks and effectively manage through issues,2,00011
103,Understanding of traditional and interactive media planning elements,2,00011
104,Proficiency in Microsoft Office solutions,0,00000
105,Strong analytical thinking and mathematical skills,2,00011
106,Excellent communication and writing skills,2,00011
107,Strong project management skills,0,00000
108,Ability to advise partners on best practices and areas of opportunity,2,00011
109,Excited by a fast-paced and rapidly changing environment,2,00011
110,Experience using SQL and Tableau,2,00011
111,Engage and strategize with senior-level directors at University career centers to demonstrate how Vault can help their students and alumni,2,00011
112,"Develop and cultivate deep relationships with university career center executives at the Director, Executive Director, and Department Dean levels",2,00011
113,"Interact and collaborate across Vault, engaging with the University and Student teams to build and grow our multi-sided talent marketplace",2,00011
114,"Proactively source, build, and/or provide valuable market research and industry-specific information and trends for customers and teammates",2,00011
115,Conceive and pitch creative software solutions that match individual university needs,2,00011
116,"Work closely with the University Product team to gather, analyze, and understand customer requirements - and develop product enhancements",2,00011
117,Generate scalable revenue and hit target quota on a quarterly and annual basis,2,00011
118,Expand pre-existing and new customer relationships by encouraging adoption and managing annual upsales,2,00011
119,A strong history of quota attainment and outstanding performance on a competitive team,2,00011
120,"3+ years of experience in a closing role: enterprise SaaS sales, talent recruiting, or education technology sales.",0,00000
121,Experience operating in a high-growth business environment like Vault,0,00000
122,"Must be willing to work out of our New York City office, with availability for domestic travel up to 20%",2,00010
123,Experience selling SaaS technology,0,00000
124,"Experience preparing sales proposals, forecasting, and account planning",2,00011
125,Knowledge of how college career centers work - and the ability to explain it in ordinary terms,2,00011
126,Develops and administers Branch budget in collaboration with Area management.,2,00011
127,"Performs additional functions, duties and specific tasks of a similar nature and scope as necessary in order to achieve assigned business objectives.",2,00011
128,Knowledge of security operations.,0,00000
129,Knowledge of business operations management and human resources administration.,2,00011
130,Use of personal computer and spreadsheet software.,2,00011
131,Ability to synthesize business/financial data and develop solutions.,2,00011
132,"Planning, organizing and leadership skills.",2,00011
133,Oral and written communications skills.,2,00011
134,Strong customer service and service delivery orientation.,2,00011
135,Ability to interact effectively at various social levels and across diverse cultures.,2,00011
136,Ability to be an effective leader and member of teams.,2,00011
137,Ability to take initiative and achieve results.,2,00011
138,"Must undergo and meet company standards for background and reference checks, controlled substance testing, and behavioral selection survey.",2,00011
139,Ability to handle multiple tasks concurrently.,0,00000
140,Handling and being exposed to sensitive and confidential information.,2,00011
141,Regular use of vehicle required in the performance of duties.,0,00000
142,Regular talking and hearing.,2,00011
143,Frequent lifting and/or moving up to 10 pounds and occasional lifting and/or moving up to 25 pounds.,2,00011
144,"Occasional walking, reaching with hands and arms, stooping, kneeling, crouching and crawling in the performance of site surveys.",2,00011
145,"Close vision, distance vision, and ability to adjust focus.",2,00011
146,"Frequent travel to client sites for oral presentations, group meetings, and site surveys.",2,00111
147,"Directing, motivating, training, coaching, and disciplining staff in a positive manner.",2,00011
148,"Reading and analyzing reports and financial data, including related computer usage.",2,00011
149,Responding on an on-call basis to emergencies and incidents at all hours.,2,00011
150,Bachelor's degree or equivalent practical experience.,2,01000
151,6 years of experience in project/program management or consulting.,0,00000
152,Master's degree in related field or equivalent practical experience.,2,01000
153,Experience with SQL and analyzing data sets.,2,00011
154,Experience working on a global team.,0,00000
155,Ability to work independently and to manage multiple global projects simultaneously while paying close attention to detail.,2,01011
156,Distinctive problem-solving skills with developed business judgment.,0,00000
157,Evaluate the impact of programs and derive insights by structuring and executing analyses involving multiple sources of data.,2,00011
158,Prepare and deliver executive communications on program status and impact.,2,00011
159,Manage stakeholder relationships with cross-functional partners around the globe.,0,00000
160,Lead counsel for a variety of clients in suits to,0,00000
161,quiet/confirm tax sale title,0,00000
162,legal research and prepare legal arguments,2,00011
163,Louisiana attorney in good standing.,2,00010
164,producer of title insurance,0,00000
165,"Medical, vision and dental insurance.",2,00011
166,Malpractice insurance.,0,00000
167,Professional license fees.,0,00000
168,Supplemental policies.,0,00000
169,"Paid office holidays, Vacation and Sick days.",2,00011
170,"Medical, Dental, Vision benefits",2,00001
171,Life and Short/Long Term Disability Insurance,2,00011
172,401k w/ Company Match,0,00000
173,Company Paid Holidays & Generous Time-off policy,0,00000
174,Employee Discount Program,0,00000
175,Career Advancement and Development Opportunities,2,00011
176,On-site Healthcare Clinic (Winston-Salem and Cleveland offices),2,00011
177,On-site Fitness Center (Cleveland and Dallas offices),2,00011
178,Subsidized parking (Cleveland office),0,00000
179,AT&T wireless service for residential and commercial,2,00011
180,AT&T wireline service for residential and commercial,2,00011
181,"AT&T high speed internet, including Uverse",0,00000
182,"Provide new Retail Wireless Consultants consistent, top-notch sales training using the 5 Step Sales Process.",0,00000
183,"Mentoring and training team members to sales success through observation, coaching, and counseling.",2,00011
184,Supervision of Sales Associates; actively involved in hiring and accountability of associates.,2,00011
185,Provide superior customer service and meet expected company goals and expectations.,2,00011
186,Handle escalated customer situations and make equitable decisions for the customer and the company.,2,00011
187,Be in alignment with company and branch office core values and expectations.,2,00011
188,"Solicit, coordinate, schedule, and participate in community events.",2,00011
189,Pro-actively develop personal leadership behaviors by seeking out additional training and development.,2,00011
190,Maintaining good employer/employee communication.,2,00011
191,Reconciling daily sales reports.,0,00000
192,Scheduling Sales Associates.,0,00000
193,Perform other duties as assigned by Company Leadership.,0,00000
194,A minimum one year retail sales and management experience is required.,2,00011
195,"Strong leadership, motivational and analytical skills; leading a team by example.",2,00011
196,Encourage a positive TEAM environment.,0,00000
197,Proven organizational leadership skills,0,00000
198,Able to prioritize multiple projects.,0,00000
199,Direct experience working in an environment that has continuous change.,0,00000
200,Strong written and verbal communication skills.,2,00011
201,Minimum of a 2 year Associates degree is preferred.,0,00000
202,"Able to work nights and weekends, with a flexible schedule.",2,00011
203,Health and Dental Insurance,2,00011
204,Managing sales activities to exceed assigned revenue objectives.,0,00000
205,Providing tactical and strategic plans with specific measurable time frames to penetrate an account.,2,00011
206,Collaborate with Client Success Managers (i.e. Account Managers) to generate additional revenue from existing client base.,0,00000
207,"Prospect (cold calling, following up on leads, completing RFP's etc.) into new accounts to establish relationships.",2,00011
208,Executing aggressively on the plan to position Blackbaud as solution of choice.,0,00000
209,"Becoming a ""trusted business advisor"" and establish Executive relationships at senior levels within client accounts.",2,00011
210,Differentiating Blackbaud's solution by positioning professional services.,0,00000
211,Provide and or coordinate appropriate resources such as online demonstrations and proposals when needed to educate clients and advance sales cycles.,2,00011
212,Build and maintain an accurate pipeline and timely sales forecasts to management.,2,00011
213,"Identifying internal teams, providing direction and leadership in each sales engagement.",2,00011
214,Develop a deep understanding of customer industry trends.,0,00000
215,5+ years of experience in positioning and selling financial and/or accounting software solutions,2,00011
