jobrequirements,bias,againstgroup
"Boost product knowledge by learning the features, advantages and benefits. Staying on top of nutritional, wellness trends",0,0000
High school diploma or GED preferred,0,0000
Drive revenue and grow the base of advertising and sponsorship accounts.,0,0000
"Build and maintain good relationships with local CEOs, decision-makers and government officials, obtaining 15 meetings a week",0,0000
Meeting new people and building relationships,0,0000
Operating autonomously and independently,0,0000
Meeting with C-level executives,0,0000
"Networking, attending events and conferences",0,0000
Building a strong strategy to exceed sales targets,0,0000
No cap on commissions!,0,0000
Access to key decision makers and industry leaders in your home city and building a portfolio like none other,0,0000
Extensive training both at our HQ in Miami as well as on the ground,0,0000
"You'll work with CX and Services teams to prospect EAs through SWSS, Subscription, and SmartNet Renewals",0,0000
You will connect with our Deal Management Organization (DMO) in order to book EAs properly which includes RNSD support for HW sales post EA booking,0,0000
You will contribute to the enablement of the Americas sales field (AM/PSS/CSE) to drive EA sales to end customers,0,0000
You will formate and consistently provide communication of Territory EA pipeline and forecast,2,0011
"You bring a minimum 10 years successfully selling information technology solutions (Example: Security, Collab, Enterprise Networking)",0,0000
"You possess excellent written, Excel spreadsheets, and verbal communications skills as well as good listening and strong presentation skills",2,0111
You can demonstrate a proven ability to work cross functionally utilizing your indirect leadership to gain support and investment,0,0000
Develop tools and artifacts supporting Go to Market best practices. Collect and apply feedback to iterate on our Go to Market toolkit.,0,0000
Work with cross-functional stakeholders to continuously align and improve processes that provide visibility and alignment across the enterprise.,0,0000
Develop and manage Go to Market dashboard to help measure and learn,0,0000
"3-5 years of professional experience in consulting, marketing, sales or a business operations type function. Client-facing experience a plus.",0,0000
Excellent problem solving skills. Able to think strategically and execute flawlessly.,0,0000
Strong communication skills - adept at creating visuals to tell a story a plus.,2,0011
Comfortable with working on several projects concurrently.,0,0000
Experience working in an agile business a plus.,0,0000
Strong quantitative and analytical skills,0,0000
Manage multiple supply chain projects concurrently,0,0000
"SQL Skills (Writing complex queries to pull large data sets, performing analysis on large data sets using SQL queries, etc.)",2,0011
Optimization skills (knowledge of AMPL software and/or CPLEX),0,0000
Advanced Microsoft Excel (Pivot tables and Formulas) skills,0,0000
"Demonstrates detailed knowledge of technical environments, database platforms, related tools, and utilities.",0,0000
"Some programming knowledge (SQL, C#, C++)",0,0000
Strong communication skills,2,0011
Ability to coach and train other employees on data analysis and optimization tasks,0,0000
Other duties as assigned,0,0000
Data Analysis experience,0,0000
Knowledge of optimization modeling of Linear and Mixed Integer Programming problems is required,0,0000
"Prior guest service experience, preferably in a hotel or resort spa",0,0000
High school diploma or equivalent,0,0000
"Able to work varied shifts, weekends and holidays.",0,0000
Fluency in English both verbal and written.,2,0011
Experience handling heavy volume of telephone calls,2,0011
Strong analytical and problem solving skills,0,0000
Proficient PC and software applications skills,0,0000
Maintain Office Supplies for Branch,0,0000
Present and sell Waveband products and services to new and existing customers,0,0000
Prospect and contact potential customers,0,0000
Achieve sales targets,0,0000
Resolve customer inquiries,0,0000
Set follow-up appointments to keep customers aware of the latest products and developments,0,0000
Present sales material to customers,0,0000
Developed SEO marketing materials to be published on company websites,0,0000
Must have excellent presentation skills.,2,0101
Experience creating product demonstration videos definitely a plus.,0,0000
Experience using Hubspot is preferred.,0,0000
Must be very detail oriented. Have prior experience responding to government RFP,0,0000
Microsoft Office: 3 years (Required),0,0000
hubspot: 3 years (Preferred),0,0000
Sales & Marketing: 3 years (Required),0,0000
Public Speaking: 1 year (Required),2,0001
Bachelor's (Preferred),0,0000
"Eldersburg, MD (Required)",0,0000
Include Intentionally,0,0000
- Cultivates diverse teams and inclusive workplaces to expand thinking.,0,0000
- Role models our values with transparency and courage.,0,0000
- Takes action to drive change and innovation that will transform our business.,0,0000
- Takes personal ownership to deliver results. Empowers and trusts others in decision making.,0,0000
- Raises the bar with every talent decision and guides the achievement of all employees and customers.,0,0000
"Diversity: Works cooperatively with people who have different backgrounds, knowledge, styles, talents, perspectives, values, beliefs",0,0000
Previous experience working in a customer service environment,0,0000
"Basic computer skills including: Open, save and send electronic files; experience using email; basic knowledge of Microsoft Word (or similar programs)",0,0000
Able to work a flexible schedule,0,0000
Experience working in a retail and/or fast paced customer environment; Experience in Copy and Print a plus,0,0000
"Computer Skills: Experience with all Microsoft Office (or similar) programs including Word, PowerPoint and Excel",0,0000
Skilled with desktop publishing software including Adobe and Publisher,0,0000
"Willingness and preference to follow processes, safety standards and policies",0,0000
Maintain and build partner as well as end-customer relationships.,0,0000
