jobrequirements,bias,againstgroup
Very good oral and written communications skills in English and Russian languages,2,11
3D machine control model creator,0,0
Handle all calls from the general public and travel agent calling the Service Center to promote direct sales.,2,11
Serve as a liaison between the business and the development team,0,0
Field inbound general contractor sales calls and connect them to the general contractor team,2,11
Ability and willingness to travel statewide as determined by the business need.,2,10
"Get your first taste of customer service by answering client questions related to our software via email, telephone or through our ticket system.",2,1
"Make phone contact with customers, field agents, and while skip tracing",2,1
Exceptional presentation skills and client-facing experience to simplify complex solutions and map back technical explanations to business value,2,101
"Occasional walking, reaching with hands and arms, stooping, kneeling, crouching and crawling in the performance of site surveys.",2,10
"Intellectually curious, strong attention to detail, self-motivated",2,1000
Good level of written and spoken English language,2,11
Periodic overnight travel may be required including some international.,2,10
Create tools for customer communication during roll-out phase,2,11
Ability to remain calm during stressful situations,2,100
"Experience in writing user guides, source code documentation and documentation for certification",2,11
"The ability to read, analyze, and interpret sales demographics information and creative layouts.",2,11
: Work requires lifting and carrying records and equipment weighing up to 25 lbs; requires sitting and standing for extended periods or time.,2,10
Work with phone and internet customers to answer any and all questions.,2,1
Background to include public speaking.,2,1
Experience in writing reports/ papers in English language,2,11
"University degree, preferably in Social Humanities or equivalent field",0,0
Monitor web server and site technical performance,2,1
"Must give proper price presentation and Quick Look Around (memberships, training packages, and other services)",2,101
Lead development of written and oral client proposals,2,11
MBA or Master's degree in Computer Science.,2,1000
Advanced written and verbal communication skills;,2,11
"Competitive, aggressive sales nature with a desire to win.",2,100
Thinks & acts strategically,0,0
C-level communication skills,2,11
Ability to succeed and meet deadlines in an extremely fast-paced environment,2,100
Professional Communication,2,11
"Travel requirement is 80-100% Monday through Friday, including international as needed.",2,10
"At least 2 years of experience in management, communications or public relations with demonstrated success, preferably in the international companies",2,11
Ability to travel and pass a background check conducted by the United States Embassy,2,10
Review and apply new technologies to projects and corporate initiatives.,0,0
Assist in call quality and scoring for both NOC and Tier1 agents to help continually improve our customer support and service.,2,11
Monitor inventory performance and service levels to ensure objectives are met,2,1
"Travel required, locally or out of state.",2,10
"Must be fluent in English and have excellent communication and strong interpersonal skills in person, on the telephone and via email",2,111
Great speaking and communication skills to answer telephones for viewers and advertisers.,2,11
Willing to travel up to 30% of the time or more as needed to achieve company goals.,2,10
Strong interpersonal skills with the ability to demonstrate skills in leading a multi-disciplined team through a period of change,2,100
Possess interpersonal skills to successfully interact with clients and organizers,2,100
Strong communication skills to work with internal teams and our customers,2,11
"Provide vision, leadership and management to ensure effective implementation of multicomponent large-scale project in destination management",2,1
Sitting 6-7 hours per day Ability to write messages,2,11
Develop and maintain competitive intelligence and customer intimacy for the U.S. fragrance market.,2,100
"Strong interpersonal skills coupled with exceptional organizational skills, demonstrable experience of delivering to deadlines",2,100
Independent thinker with excellent problem solving and interpersonal skills,2,100
"Willingness and ability to travel up to 50%, potentially international (subject to change at any time based off of project demand)",2,10
Support the communication with sponsors through developing targeted materials thus improving the dialogue between the sponsor and the community,2,11
Edit documents and texts,2,1
Strong negotiation skill; strong verbal and written communication skills along with prioritization of duties,2,11
Communication skills and ability to work under stress,2,11
"Collaborate, brainstorm and strategize design issues with the team, provide creative graphical design solutions",0,0
"Ability to manage complex issues on-schedule, result-driven performance, presentation skills and commitment to work",2,101
"Must be able to stand and walk for a minimum of 8 hours per day or longer in overtime situations, as required.",2,110
"Should have excellent telephone presentation, sales skills and ability to upsell a plus.",2,101
Shift work and travel may be required.,2,10
Adapt and tune marketing and client communications as appropriate,2,11
Must have excellent oral and written communication skills.,2,11
Ensuring your client portfolios meet and exceed acceptable revenue and margin goals,0,0
"Ability to manage multiple engagements and competing priorities in a rapidly growing, fast-paced, interactive, results-based team environment.",2,100
"Project management, persuasive writing, and database experience.",2,11
Handle telephone and electronic inquiries efficiently and effectively,2,1
5 years life insurance industry experience preferred,0,0
